m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.29,0.29,-0.38649999999999995,-0.20999999999999996,-0.36049999999999993,-0.2899999999999999,-0.37549999999999994,-0.1815,-0.3404999999999999,-0.2689999999999999,-0.3405,-0.14649999999999996,-0.2869999999999999,-0.21199999999999997
0.3,0.3,-0.38449999999999995,-0.21700000000000008,-0.3225,-0.28500000000000003,-0.36149999999999993,-0.1795,-0.2955000000000001,-0.23150000000000004,-0.32099999999999995,-0.1685000000000001,-0.2789999999999999,-0.19999999999999996
0.31,0.31,-0.39449999999999996,-0.20399999999999996,-0.35649999999999993,-0.281,-0.374,-0.18099999999999994,-0.33699999999999997,-0.26,-0.351,-0.14049999999999996,-0.2855,-0.1945
0.32,0.32,-0.39349999999999996,-0.248,-0.3275,-0.2855,-0.3899999999999999,-0.20550000000000002,-0.33499999999999996,-0.27249999999999996,-0.3305,-0.15500000000000003,-0.26549999999999996,-0.17299999999999993
0.33,0.33,-0.37450000000000006,-0.22950000000000004,-0.353,-0.28500000000000003,-0.378,-0.1905,-0.33499999999999996,-0.2865,-0.3145,-0.13450000000000006,-0.28700000000000003,-0.1765
0.34,0.34,-0.4045000000000001,-0.24349999999999994,-0.38150000000000006,-0.29500000000000004,-0.36650000000000005,-0.17299999999999993,-0.3275,-0.24550000000000005,-0.34850000000000003,-0.16949999999999998,-0.28800000000000003,-0.23850000000000005
0.35,0.35,-0.384,-0.25000000000000006,-0.3514999999999999,-0.2855,-0.399,-0.25000000000000006,-0.36149999999999993,-0.2905,-0.3185,-0.1395,-0.268,-0.19099999999999995
0.36,0.36,-0.387,-0.21200000000000008,-0.361,-0.31800000000000006,-0.4185,-0.22250000000000003,-0.378,-0.31900000000000006,-0.32400000000000007,-0.14150000000000007,-0.27349999999999997,-0.20200000000000007
0.37,0.37,-0.39849999999999997,-0.243,-0.37349999999999994,-0.30200000000000005,-0.398,-0.22599999999999998,-0.36849999999999994,-0.276,-0.3225,-0.14449999999999996,-0.275,-0.17600000000000005
0.38,0.38,-0.4155,-0.24149999999999994,-0.37850000000000006,-0.3225,-0.40700000000000003,-0.21949999999999997,-0.371,-0.3215,-0.359,-0.15900000000000003,-0.29200000000000004,-0.1755
