m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.88,0.88,-0.7415,-0.39149999999999996,-0.6035,-0.484,-0.732,-0.3515,-0.5549999999999999,-0.449,-0.08449999999999999,-0.058499999999999996,-0.018500000000000003,0.0059999999999999915
0.89,0.89,-0.7565000000000001,-0.38,-0.617,-0.478,-0.7265,-0.347,-0.575,-0.4195,-0.08,-0.04749999999999999,-0.013499999999999998,-0.006999999999999992
0.9,0.9,-0.7555000000000001,-0.4145,-0.603,-0.48350000000000004,-0.734,-0.3765,-0.5680000000000001,-0.445,-0.06450000000000002,-0.046,0.001999999999999988,-0.0010000000000000009
0.91,0.91,-0.749,-0.394,-0.6035,-0.47900000000000004,-0.7224999999999999,-0.3605,-0.55,-0.43150000000000005,-0.051000000000000004,-0.04500000000000001,0.0030000000000000027,-0.0020000000000000018
0.92,0.92,-0.753,-0.3935,-0.61,-0.49199999999999994,-0.7414999999999999,-0.35900000000000004,-0.5725,-0.46049999999999996,-0.035500000000000004,-0.037000000000000005,-0.003500000000000003,0.006500000000000006
0.93,0.93,-0.7575000000000001,-0.4115,-0.619,-0.5065,-0.744,-0.3715,-0.5715,-0.47400000000000003,-0.012499999999999997,-0.035500000000000004,-0.006000000000000005,-0.005499999999999991
0.94,0.94,-0.7715000000000001,-0.4245,-0.63,-0.5289999999999999,-0.7475,-0.38,-0.5825,-0.48,-0.020000000000000004,-0.028499999999999998,-0.007999999999999993,0.0049999999999999975
0.95,0.95,-0.78,-0.434,-0.604,-0.533,-0.764,-0.385,-0.5745,-0.48000000000000004,-0.014499999999999999,-0.043000000000000003,0.012000000000000004,-0.0075
0.96,0.96,-0.8009999999999999,-0.4455,-0.6505,-0.5515,-0.7805,-0.413,-0.598,-0.49649999999999994,-0.015,-0.031,-0.005999999999999998,-0.0030000000000000027
0.97,0.97,-0.8075,-0.4355,-0.6585,-0.5605,-0.762,-0.38449999999999995,-0.607,-0.501,-0.011000000000000003,-0.030499999999999992,0.008,-0.013499999999999998
0.98,0.98,-0.8009999999999999,-0.4555,-0.67,-0.5365,-0.7795,-0.411,-0.624,-0.484,0.0020000000000000018,-0.026000000000000002,-0.0025000000000000022,-0.000499999999999997
0.99,0.99,-0.842,-0.4695,-0.6845,-0.574,-0.8075,-0.4265,-0.6465,-0.528,0.006500000000000002,-0.030000000000000002,0.003999999999999998,-0.0024999999999999988
0.1,0.2,-0.40549999999999997,-0.14950000000000002,-0.28850000000000003,-0.21049999999999996,,,,,-0.5425,-0.6220000000000001,-0.5865,-0.6205
0.1,0.3,-0.49750000000000005,-0.2025,-0.335,-0.26099999999999995,,,,,-0.638,-0.7135,-0.6445000000000001,-0.69
